0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
170,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0
8,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
0,0,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
0,0,0,5,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0
0,0,0,0,0,149,0,0,0,1,7,6,0,0,15,14,0,0,1,1,2,0,0,0,3,1,0,0,0
4,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,9
0,0,0,0,0,0,0,0,187,1,2,0,0,3,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,176,1,0,0,0,0,1,0,0,0,1,10,9,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,1,2,152,4,0,2,20,5,0,0,2,1,1,1,1,0,0,3,0,0,0
0,0,0,0,0,1,0,0,0,0,2,173,0,0,5,4,0,0,0,0,3,0,0,0,8,3,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,4,2,0,0,1,0,0,1,0,0,0
0,0,0,0,0,7,0,0,1,0,8,8,0,0,158,7,0,0,5,0,0,0,1,0,1,3,0,0,1
0,0,0,0,0,31,0,0,1,0,11,16,0,0,11,80,0,0,1,0,0,0,0,0,47,2,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,196,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,7,1,0,2,0,1,0,0,185,0,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,196,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,13,0,3,0,0,0,1,0,0,0,0,173,2,0,0,5,1,0,0,0
0,0,0,0,0,0,0,0,3,12,1,0,0,2,1,0,0,0,0,0,4,177,0,0,0,0,0,0,0
0,0,1,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,1,0,0,0,150,0,0,5,0,0,15
1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0
0,0,0,0,0,7,0,0,1,1,3,6,0,0,2,48,0,0,0,0,10,0,0,0,121,1,0,0,0
0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,0,177,0,0,8
0,0,0,50,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
0,0,1,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,1,0,0,0,7,0,0,1,0,0,176
