0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
163,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
14,184,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,192,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0
0,0,0,132,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0
2,0,0,4,182,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1
0,0,0,0,0,129,0,0,1,1,4,3,0,1,22,15,0,0,2,0,1,1,0,0,18,2,0,0,0
2,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,155,1,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,12,0,0,9
0,0,0,0,0,0,0,0,178,11,0,0,0,3,0,0,0,0,0,2,1,3,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,11,124,0,0,0,0,0,0,0,0,0,1,13,47,0,0,3,0,0,0,0
0,0,0,0,0,3,0,0,1,0,123,12,0,3,17,15,0,0,0,0,12,0,0,1,7,5,0,0,1
0,0,0,0,0,4,0,0,1,1,12,151,0,0,10,4,0,0,0,0,0,0,0,0,9,8,0,0,0
3,1,0,0,0,0,1,0,0,0,0,0,188,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0
0,0,0,0,0,0,0,0,3,1,1,0,0,188,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2
0,0,0,0,1,24,0,0,0,2,25,10,0,0,109,6,1,0,3,0,1,0,0,0,10,8,0,0,0
0,0,0,0,0,34,0,0,0,1,19,20,0,0,15,40,0,0,4,0,3,1,0,0,60,3,0,0,0
7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,9,0,1,0,0,3,0,0,5,1,0,0,0,161,0,0,0,6,0,6,5,0,0,2
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,195,0,1,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,5,7,7,3,0,1,0,6,0,0,0,0,142,7,0,0,16,2,0,0,0
0,0,0,0,0,2,0,0,5,32,0,0,0,0,0,2,0,0,0,2,11,146,0,0,0,0,0,0,0
0,0,2,0,0,0,0,32,1,0,0,0,0,1,0,0,0,0,5,0,0,0,128,0,0,5,0,0,26
0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0
0,0,0,0,0,9,0,0,0,13,8,11,0,0,8,18,0,0,3,0,8,0,0,0,118,4,0,0,0
0,0,0,0,0,0,0,16,0,0,1,1,0,2,2,0,0,0,1,0,0,0,13,0,0,161,0,0,3
0,1,0,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
0,0,0,0,0,0,0,13,1,0,0,0,0,3,0,0,0,0,3,0,0,0,26,0,0,6,0,0,148
