0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
175,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
17,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,190,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,4,0,0,1
0,0,0,140,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0,0
1,0,0,5,189,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,140,0,0,0,0,11,3,0,0,13,21,0,0,4,0,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,194,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
0,0,3,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,7,0,0,11
0,0,0,0,0,0,0,0,190,2,0,0,0,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,167,1,1,0,0,0,0,0,1,0,0,9,15,0,0,0,0,0,0,0
0,0,1,0,0,4,0,0,0,2,165,5,0,0,10,5,0,0,1,0,0,0,0,0,0,4,0,0,3
0,0,0,0,0,3,0,0,0,0,1,171,0,0,3,11,0,0,0,0,2,0,0,0,6,3,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,190,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,2,0,0,191,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,17,0,0,2,0,16,7,0,1,144,8,0,0,0,0,0,0,0,0,1,4,0,0,0
0,0,0,0,0,31,0,0,1,1,7,9,0,0,11,92,0,0,1,0,2,1,0,0,43,1,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,185,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,196,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,2,0,2,1,0,5,0,0,2,1,2,0,0,175,0,0,0,5,0,0,3,0,0,1
0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,2,190,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,5,3,3,0,0,0,1,0,0,0,0,174,1,0,0,11,0,0,0,0
0,0,0,0,0,1,0,0,1,22,4,0,0,1,0,0,0,0,0,0,3,168,0,0,0,0,0,0,0
0,0,2,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,8,0,0,0,151,0,0,6,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,193,0,0,0,0,0
0,0,0,0,0,10,0,0,2,1,6,8,0,2,3,48,0,0,0,0,7,0,0,0,111,2,0,0,0
0,0,2,0,0,0,0,5,0,1,4,0,0,1,6,0,0,0,2,0,0,0,9,0,1,164,0,0,5
1,0,0,74,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,0
0,0,3,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,178
