0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
161,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0
14,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
0,0,191,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,141,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
4,0,0,8,182,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0
0,0,0,0,0,89,0,0,0,2,8,36,0,1,43,5,0,0,6,1,2,0,0,0,5,2,0,0,0
4,2,0,0,0,0,190,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,3,0,0,0,0,125,0,0,1,0,0,0,0,0,0,0,3,0,0,0,26,0,0,32,0,0,10
0,0,0,0,0,0,0,0,167,5,0,0,0,2,1,0,0,0,0,2,0,21,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,77,0,0,0,3,0,0,0,0,0,0,26,83,0,0,3,0,0,0,0
0,0,0,0,0,8,0,0,0,5,51,28,0,7,19,22,0,0,16,0,25,0,0,0,17,1,0,0,1
0,0,0,0,0,42,0,0,0,2,8,111,0,2,17,5,0,0,1,0,0,0,1,0,11,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0
0,0,0,0,0,0,0,0,4,1,2,0,0,162,0,0,0,0,11,9,4,0,3,0,0,0,0,0,4
0,0,0,0,1,71,0,0,0,7,12,17,0,0,64,8,0,0,4,0,2,0,0,0,2,11,0,0,1
0,0,0,0,0,15,0,0,1,2,26,55,0,1,28,38,0,0,2,0,10,0,0,0,22,0,0,0,0
11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,197,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,3,0,1,0,0,10,0,0,7,4,3,0,0,152,0,1,0,4,0,0,4,0,0,11
0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,192,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,17,11,3,0,3,1,2,0,0,1,0,152,3,0,0,5,1,0,0,0
0,0,0,0,0,0,0,0,17,38,1,0,0,1,1,0,0,0,0,0,12,127,0,0,3,0,0,0,0
0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,158,0,0,3,0,0,19
0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,195,0,0,0,0,0
0,0,0,0,0,12,0,0,0,8,35,40,0,0,23,28,0,0,7,0,16,1,0,0,30,0,0,0,0
0,0,5,0,0,2,0,13,0,0,1,0,0,1,3,0,0,0,17,0,0,0,16,0,0,137,0,0,5
0,0,0,56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
0,0,0,0,0,0,0,22,1,0,0,0,0,7,0,0,0,0,11,0,0,0,66,0,0,4,0,0,89
