0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
166,21,0,1,0,0,4,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0
12,185,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,193,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1
1,0,0,138,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1
0,0,0,7,181,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,8,0,0
0,0,0,0,0,128,0,0,0,0,3,7,0,2,25,16,0,0,3,0,1,3,0,0,11,1,0,0,0
2,1,0,1,0,0,191,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0
0,0,2,0,0,0,0,150,0,0,0,0,0,0,1,1,0,0,5,0,0,0,12,0,0,17,0,0,12
0,0,0,0,0,0,0,0,185,5,1,0,0,3,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0
0,0,0,0,0,2,0,0,6,151,3,1,0,0,0,0,0,0,0,0,15,21,0,0,1,0,0,0,0
0,0,0,0,0,5,0,0,2,3,106,19,0,1,14,16,0,0,1,0,11,0,0,1,7,12,0,0,2
0,0,0,0,0,4,0,0,1,1,10,159,0,0,8,4,0,0,0,0,1,0,0,0,11,1,0,0,0
2,1,0,0,0,0,1,0,0,0,0,0,187,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,192,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0
0,0,0,0,1,31,0,0,0,4,23,14,0,0,97,11,0,0,5,0,0,1,0,0,2,10,1,0,0
0,0,0,0,0,32,0,0,0,0,23,9,0,1,12,71,0,0,3,0,11,1,0,0,37,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,5,0,0,4,2,2,0,0,171,0,1,0,3,0,1,2,0,0,3
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,1,20,12,0,0,1,0,10,0,0,0,0,138,3,0,0,12,1,0,0,0
0,0,0,0,0,3,0,0,8,23,1,0,0,1,1,0,0,0,0,1,5,156,0,0,1,0,0,0,0
0,0,1,0,0,0,0,26,1,0,1,0,0,0,0,0,0,0,5,0,0,0,129,0,0,8,0,0,29
1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0
0,0,0,0,0,27,0,0,0,5,13,11,0,0,7,49,0,0,4,0,18,1,0,0,65,0,0,0,0
0,0,0,0,0,0,0,17,0,0,3,0,0,0,2,0,0,0,2,0,0,0,7,0,1,163,0,0,5
0,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,199,0
0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,3,0,0,1,27,0,0,10,0,0,145
