0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
13,182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,190,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1
0,3,0,135,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
1,4,0,2,182,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,1,0,0,140,0,0,0,0,2,5,0,0,21,11,0,0,4,0,2,2,0,0,7,1,0,0,0
5,4,0,0,0,0,187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,3,0,0,0,0,154,1,0,0,0,0,1,0,0,0,0,4,0,0,0,17,0,0,8,0,0,9
0,0,0,0,0,0,0,0,181,8,1,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,6,147,2,3,0,0,0,1,0,0,0,1,12,13,0,0,7,2,0,0,0
0,0,0,0,0,4,0,0,1,0,122,14,0,4,17,14,0,0,2,0,9,1,0,0,4,4,0,0,1
0,0,0,0,0,5,0,0,2,0,15,154,0,0,5,5,0,0,0,0,2,1,0,0,6,2,0,0,0
0,116,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,1,0,1,0,184,0,0,0,0,4,0,2,0,1,0,0,0,0,0,2
0,0,0,0,0,29,0,0,1,3,18,13,1,1,102,15,0,0,7,0,0,0,0,0,2,6,0,0,0
0,0,0,0,0,24,0,0,1,6,17,14,0,0,11,77,0,0,3,0,9,0,0,0,32,1,0,0,0
1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,4,0,2,1,0,3,0,0,3,7,2,0,0,162,1,0,0,8,0,2,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,3,18,8,5,0,1,0,6,0,0,0,2,135,5,0,0,9,1,0,0,0
0,0,0,0,0,1,0,0,7,18,0,0,0,0,0,0,0,0,0,0,7,164,0,0,0,0,0,0,0
0,1,2,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,9,0,0,0,129,0,0,2,0,0,30
0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
0,0,0,0,0,15,0,0,0,9,4,11,0,2,10,35,0,0,4,0,28,0,0,0,76,1,0,0,0
0,0,5,0,0,0,0,9,0,0,2,0,0,2,2,0,0,0,3,0,0,0,5,0,2,160,0,0,7
0,6,0,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,194,0
0,0,2,0,0,0,0,9,0,0,0,0,1,2,0,0,0,0,1,0,0,0,16,0,0,13,0,0,151
