0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
164,22,0,0,0,0,2,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
15,180,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0,0,194,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,129,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
0,0,0,3,187,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,146,0,0,0,2,1,5,0,1,10,22,0,0,4,0,0,0,0,0,8,1,0,0,0
0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,0,0,151,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23,0,0,8,0,0,11
0,0,0,0,0,0,0,0,187,3,0,1,0,4,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,171,1,0,0,0,0,0,0,0,0,3,6,16,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,143,2,0,0,23,8,0,0,3,1,2,0,0,0,1,7,0,0,3
0,0,0,0,1,8,0,0,0,1,2,159,0,0,4,4,0,1,0,0,4,0,0,0,14,2,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,193,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,2,0,0,0,0,193,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,0,0,0,1,13,4,0,0,153,14,0,0,2,0,0,0,0,0,2,1,0,1,0
1,0,0,0,0,33,0,0,0,1,2,9,0,0,11,74,0,0,3,0,4,0,0,0,61,1,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,190,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,193,0,1,0,0,0,1,0,0,0,1,0
0,0,0,0,0,2,0,1,0,0,4,0,0,3,0,2,0,0,178,0,0,0,6,0,1,2,0,0,1
0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,194,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,3,9,4,1,0,1,0,3,0,0,0,0,160,4,0,0,14,1,0,0,0
0,0,0,0,0,0,0,0,2,9,1,0,0,2,0,0,0,0,0,2,5,179,0,0,0,0,0,0,0
0,0,0,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,3,0,0,0,167,0,0,3,0,0,8
1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0
0,0,0,0,0,7,0,0,2,1,5,13,0,5,6,46,0,0,0,0,4,0,1,0,110,0,0,0,0
0,0,1,0,0,0,0,5,1,0,1,0,0,3,7,1,0,0,4,0,0,0,8,0,0,161,0,0,8
0,0,0,53,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,196,0
0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,5,0,0,179
