0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
164,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0
16,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
0,1,0,144,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1
0,1,1,5,187,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,132,0,0,0,1,3,5,0,0,22,14,0,0,5,1,0,3,0,0,13,1,0,0,0
3,0,0,1,0,0,192,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
0,0,4,0,0,0,0,135,0,0,0,0,0,0,0,1,0,0,6,0,0,0,22,0,0,23,0,0,9
0,0,0,0,0,0,0,0,176,9,1,1,0,1,0,0,0,0,0,0,2,8,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,6,148,0,0,0,0,0,0,0,0,0,0,24,18,0,0,4,0,0,0,0
0,0,0,0,0,3,0,0,3,1,90,29,0,5,18,17,0,0,2,0,19,0,0,0,6,6,0,0,1
0,0,0,0,0,5,0,0,0,1,11,160,0,0,5,3,0,0,0,0,1,0,0,0,8,5,0,0,1
2,1,0,0,0,0,1,0,0,0,0,0,187,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,5,1,2,0,0,178,0,0,0,0,0,2,1,0,1,0,0,2,0,0,8
0,0,0,0,1,41,0,0,0,0,20,19,0,0,71,24,1,0,6,0,4,0,0,0,6,7,0,0,0
0,0,0,0,0,32,0,0,0,2,18,16,0,1,8,65,0,0,4,0,13,1,0,0,40,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,6,0,1,0,0,6,0,0,2,1,1,0,0,172,0,2,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,197,2,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,1,50,8,3,0,1,0,6,0,0,0,1,104,9,0,0,12,2,0,0,0
0,0,0,0,0,4,0,0,9,22,2,0,0,2,0,0,0,0,0,2,4,154,0,0,1,0,0,0,0
0,0,4,0,0,0,0,26,0,0,1,0,0,1,1,0,0,0,6,0,0,0,108,0,0,9,0,0,44
1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0
0,0,0,0,0,22,0,0,0,8,20,10,0,0,9,39,0,0,5,0,23,1,0,0,62,1,0,0,0
0,0,0,0,0,0,0,17,0,0,2,2,0,0,3,0,0,0,2,0,0,0,6,0,0,161,0,0,7
0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
0,0,0,0,0,0,0,14,0,0,1,0,0,6,0,0,0,0,6,0,0,0,24,0,0,7,0,0,142
