mean,median,std,variance,min,max,amplitude,skewness,kurtosis,energy,rms,mean_abs_diff,var_diff,autocorr_lag1,shannon_entropy,shannon_entropy_norm,unique_symbols,idioma,nome_idioma,length
1265.8169603908568,1583.0,632.8246208045849,400467.00069646665,10.0,1617.0,1607.0,-1.423974756820925,0.031395254669684736,11477815141.0,1415.1888841810533,509.8434554973822,774346.3580058112,0.03302007452313883,3.207968132026177,0.7430172469886981,75,ar,Árabe,5731
1193.0932120818447,1580.0,903.7956713440009,816846.6155401533,10.0,26519.0,26509.0,9.893934723525286,260.4631159306213,13795878418.0,1496.7691967220355,479.4550917654702,944992.5074577045,0.42157910509083085,3.453824191617843,0.7347811123205469,110,ar,Árabe,6158
1204.9403762662807,1581.0,679.7803034724891,462101.2609891494,10.0,8211.0,8201.0,-0.781084520418954,2.4470448981532993,13225619568.0,1383.4675895538267,484.7959183673469,766033.3667135366,0.17106904005127563,3.4004776788994877,0.7306632250926657,105,ar,Árabe,6910
1156.0367700825238,1580.0,697.8934737072384,487055.3006431558,10.0,8211.0,8201.0,-0.8398205536541576,-0.0202048863721922,34912277516.0,1350.3615495214567,479.6290415252024,738620.1238231442,0.2417292197823675,3.493225041387979,0.7335357946215654,117,ar,Árabe,19146
1230.0281844802344,1583.0,681.5326600942769,464486.76677518117,10.0,8211.0,8201.0,-0.5424457723324384,5.312832683222711,10804820138.0,1406.2205024074008,489.764232106901,804788.7208492163,0.1337972929288119,3.3928371617154625,0.709928748777006,119,ar,Árabe,5464
1275.6060534293292,1585.0,640.8424424336796,410679.03602436394,10.0,8221.0,8211.0,-0.967979146237872,4.478948240361006,43023085813.0,1427.5327805587908,526.9147837620199,836351.2768721536,-0.018303323809092418,3.215468864664656,0.7620483452892413,68,ar,Árabe,21112
1233.9254788347014,1581.0,653.4902734559106,427049.53750148084,10.0,1740.0,1730.0,-1.2811264828765931,-0.35518657711405055,12112999155.0,1396.2885177566018,509.4209594333548,775214.4743641339,0.0922378488262523,3.2487571362432934,0.7085671057333829,98,ar,Árabe,6213
1272.9439425813637,1583.0,644.3727260473955,415216.2100737519,10.0,8211.0,8201.0,-0.9043383720801437,4.852771792673401,16449703730.0,1426.7454191369734,531.827103960396,851489.7920626501,-0.025479160328452148,3.187952661792466,0.7636935568443719,65,ar,Árabe,8081
1257.3961439077718,1583.0,1079.550032102174,1165428.271811805,10.0,30495.0,30485.0,13.618712263576182,317.4304675494784,13817507346.0,1657.2487244001545,541.5061630218688,1688190.5383620348,0.27585058688697855,3.2912161173738705,0.7162416269245886,99,ar,Árabe,5031
1170.756992481203,1581.0,706.7642400564234,499515.69102253375,10.0,8211.0,8201.0,-0.5116274383913516,3.305010369670587,12436747716.0,1367.5480344273708,485.39855617386075,786127.311012746,0.21305583849531026,3.41760327245166,0.7343430144040621,105,ar,Árabe,6650
1244.9338568935427,1583.0,653.8879549125479,427569.45757971425,10.0,8207.0,8197.0,-1.0796735829748008,1.9008896278710887,11330672557.0,1406.2111383499798,491.9872578111363,766122.8753891703,0.10395897594793127,3.2706923361157574,0.7215930595801195,93,ar,Árabe,5730
1211.4758371766593,1580.0,666.2160769651342,443843.8612068137,10.0,1617.0,1607.0,-1.1796823925047306,-0.6040948915998006,9532738098.0,1382.576422940049,478.9909747292419,725923.2052277061,0.1821102069073979,3.322423045317853,0.7198995201087032,101,ar,Árabe,4987
1247.7754391779913,1582.0,645.0474727347997,416086.2420815522,10.0,1617.0,1607.0,-1.3443429069732122,-0.18993468867456142,11905261745.0,1404.6457876266818,506.6847339632024,770560.6058264166,0.0738951752345814,3.26267402434324,0.7324696094279474,86,ar,Árabe,6034
1286.5038010323792,1583.0,629.6671275113733,396480.69146842405,10.0,8221.0,8211.0,-1.0766674326934,4.252780291514317,21859507348.0,1432.331219215438,497.0361366622865,778614.3287737813,0.017990434258309748,3.1849194447425675,0.731037939747422,78,ar,Árabe,10655
1212.6264637002341,1583.0,692.7253020333458,479868.34407719015,10.0,8221.0,8211.0,-0.3751722763552538,6.067660600241707,11659080419.0,1396.5426182338028,511.02375773799565,850119.5775016656,0.11412890221942915,3.3364996026518083,0.7245116831520363,100,ar,Árabe,5978
1264.7376157873541,1583.0,675.5848824312067,456414.93336958735,10.0,8221.0,8211.0,-0.10360118797745696,10.653329466803752,10209977661.0,1433.867556700084,529.0435045317221,901823.680860728,0.011903862346838356,3.243389519128407,0.7190180750348518,91,ar,Árabe,4966
1274.8964376972795,1583.0,626.7330712905352,392794.34264926706,10.0,1617.0,1607.0,-1.472617966868761,0.17168975293012068,13426787008.0,1420.6179181970358,504.4382140709561,767075.8099838361,0.02340707514411901,3.1893696480248934,0.7364502492813434,76,ar,Árabe,6653
1167.0140252454419,1580.0,721.5015797327466,520564.52955684887,10.0,8211.0,8201.0,-0.1565662194643917,5.991383404067651,9395488947.0,1372.037267961923,480.4294589178357,812508.1521327625,0.21952341724169794,3.4210058281821887,0.7236566914694154,113,ar,Árabe,4991
1253.0292367839538,1583.0,912.8650680662187,833322.6324955419,10.0,30465.0,30455.0,12.107576699246918,344.3226195409237,14139231031.0,1550.2918759804295,539.011390683441,1286647.1592103906,0.22800607546312834,3.2655008552200844,0.7154364036740898,96,ar,Árabe,5883
1303.7820366132723,1585.0,1350.2165371348872,1823084.6971525261,10.0,40658.0,40648.0,15.996750976628517,365.3419514250242,18474256961.0,1876.947600799761,558.3980545489223,2388440.459254083,0.3450116325662078,3.275102802012441,0.7175400877905438,96,ar,Árabe,5244
