idioma,nome_idioma,energy_mean,energy_variance,energy_min,energy_max,energy_amplitude,spectral_skewness,spectral_kurtosis,mean_interband_diff,var_interband_diff,spectral_entropy,spectral_entropy_norm,effective_scales,spectral_flatness,energy_cdf_50,energy_cdf_80,length
ar,Árabe,6.938893903907228e-18,0.7762377917280627,0.14601553091160552,0.8779636954709437,0.8780932802202034,0.9999122994046007,0.9998815685139655,0.7435725267050652,0.7746689096662277,0.1942248015486403,0.19422480154864027,0.044131038174127946,0.1394443690958389,0.0,0.0,0.013343636589438254
ar,Árabe,1.3877787807814457e-17,0.535129465578195,0.1398335301362224,0.7229524722885898,0.7271653520674792,0.9930149065528966,0.9904111770113306,0.6796482432166066,0.511738358740782,0.37929738556820836,0.37929738556820825,0.11688142911969378,0.23927651537737415,0.0,0.2,0.01923581117443321
ar,Árabe,1.0408340855860843e-17,0.7904987083132962,0.06794176825660321,0.8862113294174361,0.8885393874405801,0.9998589907544857,0.9998098915270471,0.7538746046593681,0.7922600641937991,0.18112635685985407,0.18112635685985404,0.04031246435955628,0.12510431351522994,0.0,0.0,0.029612661965806072
ar,Árabe,1.3877787807814457e-17,0.7667645721541438,0.11560502320718204,0.8724347139785347,0.8736401527565594,0.9999190609951473,0.9998908142245689,0.7320909052991345,0.7666931668977487,0.20234836826100933,0.20234836826100924,0.04657312351027394,0.14559157245916665,0.0,0.0,0.198457271385006
ar,Árabe,2.7755575615628914e-17,0.7594221562013658,0.147373514436553,0.8681216706223326,0.8684565773809,0.9999098635446654,0.9998782084674458,0.739827314385064,0.7588952221024903,0.20861730486943708,0.20861730486943705,0.0484973527115886,0.15078299984951365,0.0,0.0,0.009659302598352404
ar,Árabe,1.0408340855860843e-17,0.7594441094394052,0.15601464227027678,0.8681455665760084,0.8682136240903479,0.9999483002662151,0.9999302283068118,0.724741038150742,0.7593963852994984,0.2089576041126806,0.20895760411268058,0.04860280965246257,0.1520634486961221,0.0,0.0,0.2255861126826643
ar,Árabe,1.3877787807814457e-17,0.7481289220774797,0.12777170043288283,0.8614230109663215,0.8625301101685622,0.9998104021767392,0.9997438845709221,0.7420532518354881,0.744225799985314,0.2172869385189245,0.21728693851892447,0.051216705049024855,0.1544856274570528,0.0,0.03333333333333333,0.019994756378589468
ar,Árabe,1.3877787807814457e-17,0.7513359038734583,0.1283490250112953,0.8633371194868859,0.8643783610047664,0.9998626103317726,0.9998145650822067,0.7374753859233242,0.75198246017132,0.2149896164744049,0.21498961647440487,0.05048945427623007,0.15382791394646078,0.0,0.0,0.04577129531247845
ar,Árabe,1.0408340855860843e-17,0.45672092726650687,0.14780239113675547,0.6660046396329456,0.6714021220654527,0.9932043697914762,0.9906681702308519,0.628215085122825,0.414304313449961,0.4545101060933524,0.4545101060933523,0.15955652652675195,0.3137642829658315,0.0,0.3333333333333333,0.0036843339910858502
ar,Árabe,1.0408340855860843e-17,0.6871256155006292,0.1584040261883275,0.8244359768799698,0.8255280974203819,0.9996165273792255,0.9994811207165963,0.7001722214327653,0.6749164456249821,0.2683827952603629,0.2683827952603628,0.06870823751520029,0.19261054298154245,0.0,0.1,0.02602492100070375
ar,Árabe,6.938893903907228e-18,0.7491119432617795,0.15684683155665308,0.862011432506796,0.8622078960014077,0.9998310544823191,0.9997716075891965,0.730629262149131,0.7474440630901336,0.2167150566175357,0.21671505661753568,0.05103521483414655,0.1551168516520281,0.0,0.03333333333333333,0.013329837585726312
ar,Árabe,1.3877787807814457e-17,0.7433193093338848,0.1345295946171422,0.8585501800590447,0.859521201793665,0.9997511298625994,0.9996634171810491,0.7316659044562709,0.7308693976898447,0.2209656867309288,0.22096568673092878,0.05239139317762956,0.15638768089807537,0.0,0.03333333333333333,0.0030771778277608464
ar,Árabe,1.0408340855860843e-17,0.738363255650787,0.15703792663624744,0.8556408692303227,0.8559914294804127,0.9999048405735113,0.9998714598920803,0.7180928422254558,0.7342934450292422,0.22658171220414214,0.22658171220414206,0.05420900331231131,0.16483950254072738,0.0,0.03333333333333333,0.01752473471415364
ar,Árabe,1.3877787807814457e-17,0.776505181478522,0.14532114058817458,0.8781234853797864,0.8782704527562663,0.9999267392660128,0.999901084469308,0.7434821771089747,0.7791284186912744,0.19415068713748818,0.19415068713748815,0.044109021567501655,0.13985806048204402,0.0,0.0,0.0812899308669914
ar,Árabe,1.0408340855860843e-17,0.7120222356602441,0.15106010897385774,0.8397752795020118,0.8407084619082524,0.9998931734672445,0.9998557990353378,0.7128600342847317,0.7065277825034715,0.24898392330417912,0.2489839233041791,0.061760924391012134,0.18215800751714828,0.0,0.1,0.016751990506285452
ar,Árabe,1.3877787807814457e-17,0.7329510750696091,0.1339632859649459,0.85238655405907,0.8535298127184173,0.9998387355126173,0.9997823138041652,0.7285472057524837,0.7315155810959981,0.23053433169094578,0.23053433169094575,0.055506101759303456,0.16559794091128227,0.0,0.06666666666666667,0.002787398749810266
ar,Árabe,6.938893903907228e-18,0.77894374149428,0.11535011616191462,0.87952756001735,0.8805627294277455,0.9998783051755733,0.9998356829402253,0.7521534819478903,0.7813680303150208,0.19150628510350493,0.1915062851035049,0.04332655405349001,0.13596438902743685,0.0,0.0,0.026066318011839548
ar,Árabe,2.0816681711721685e-17,0.668200141558279,0.16110438080311484,0.812580544272894,0.8138871888444487,0.9993651008770066,0.9991390902839524,0.6942047437802054,0.6486378058036326,0.2832606969721765,0.2832606969721765,0.07430734314465377,0.20129977075802563,0.0,0.16666666666666666,0.003132373842608574
ar,Árabe,1.3877787807814457e-17,0.5456981746326665,0.1659927066475836,0.731276051120263,0.7344738871822568,0.9969468637412643,0.9958100610293329,0.6823283507027735,0.5459937030136655,0.3825175636208541,0.382517563620854,0.11852437314982607,0.26905046644143404,0.0,0.26666666666666666,0.015441085153651918
ar,Árabe,1.3877787807814457e-17,0.3294401787120286,0.1336998687574767,0.5592845530753082,0.5677966351425617,0.9798476375400308,0.9724003989394325,0.5671027339972098,0.2981750859868288,0.5573290686110547,0.5573290686110546,0.23518473819135982,0.3641392333164619,0.0,0.4666666666666667,0.006623521781727371
ar,Árabe,1.3877787807814457e-17,0.6865327221053374,0.15826080118452956,0.8239856532194247,0.8250934958214386,0.9993109024825634,0.9990648596697227,0.6985929484343246,0.6695546291204264,0.26711746382803075,0.2671174638280307,0.06824308667887875,0.18765512843650767,0.0,0.1,0.023127130221198028
