energy_mean,energy_variance,energy_min,energy_max,energy_amplitude,spectral_skewness,spectral_kurtosis,mean_interband_diff,var_interband_diff,spectral_entropy,spectral_entropy_norm,effective_scales,spectral_flatness,energy_cdf_50,energy_cdf_80,idioma,nome_idioma,length
0.031249999999999993,0.01972937781052386,0.004082635764624342,0.8132801461112745,0.8091975103466502,5.387601536828465,27.028385290603257,0.02687217281160345,0.020336620409707063,1.1192337484437878,0.32294259569508366,3.0625066535118637,0.22069291466132515,0.0,0.0,ar,Árabe,5731
0.03125,0.013610756773799667,0.003913808810530276,0.6793395246226999,0.6754257158121696,5.349751718613326,26.761048796685795,0.02472240459671784,0.013447016404787179,1.6553250117280383,0.4776258370959012,5.234781010948464,0.30992864303236384,0.0,0.1875,ar,Árabe,6158
0.031249999999999997,0.02009127798052106,0.0019504853455894662,0.8204066831059792,0.8184561977603897,5.387309002713108,27.026361945066594,0.02721863081668117,0.020797563758655074,1.0812920846502578,0.31199494565548325,2.948486785418241,0.20787494617842678,0.0,0.0,ar,Árabe,6910
0.03125,0.01948897532631243,0.0032521419528739296,0.8085027164381927,0.8052505744853188,5.387638641424149,27.0286462846557,0.026486046860605867,0.020127630966956817,1.1427649114427727,0.3297322541280807,3.135425565498896,0.2261876394569285,0.0,0.0,ar,Árabe,19146
0.031250000000000014,0.01930264637854676,0.004119721528692787,0.8047759430099405,0.8006562214812477,5.3875881699146575,27.02829044098107,0.02674622163993345,0.01992330038801702,1.160923852507245,0.33497181697238254,3.1928816657001184,0.230828036580682,0.0,0.0,ar,Árabe,5464
0.031249999999999997,0.019303203487238265,0.004355705855630149,0.8047965907980211,0.800440884942391,5.387799093513577,27.029758891516234,0.026238871453749743,0.01993643243355936,1.1619095817127432,0.3352562382996689,3.196030534118511,0.2319725755866524,0.0,0.0,ar,Árabe,21112
0.03125,0.019016057271540515,0.003584407045049271,0.7989878289686037,0.7954034219235544,5.387042370251455,27.024498656920613,0.02682107972700312,0.019538915579889432,1.1860367825502705,0.3422178768994354,3.274079570957672,0.23413765861879482,0.0,0.03125,ar,Árabe,6213
0.03125,0.019097441048677558,0.003600173453634196,0.8006417536301708,0.7970415801765366,5.38732886534023,27.026493873282035,0.02666712648587285,0.019742164372752086,1.179382235181509,0.3402977804017809,3.2523643858619646,0.23354975636122302,0.0,0.0,ar,Árabe,8081
0.031249999999999997,0.011620978404742077,0.004131433909458804,0.6301325837204191,0.6260011498109603,5.35079140843423,26.768303371773662,0.022992711866080335,0.010893939227987254,1.8731902486293963,0.5404884564678389,6.509028731044212,0.3765101044460412,0.0,0.3125,ar,Árabe,5031
0.031249999999999997,0.017467972554222024,0.004420958582652146,0.7670284247987706,0.7626074662161185,5.385978471761089,27.017081184525292,0.025412624237897998,0.017722793399721964,1.3340438065739506,0.3849236768145748,3.796364151902025,0.2682159062838097,0.0,0.09375,ar,Árabe,6650
0.031249999999999993,0.019041003461470363,0.0043784324756280125,0.7994962666495045,0.7951178341738765,5.387155700900982,27.02528124067169,0.026436891925831357,0.019623244153719323,1.1843802384835787,0.3417398993174294,3.2686604036544917,0.23470188319877325,0.0,0.03125,ar,Árabe,5730
0.03125,0.018894003428849223,0.003768961323295507,0.7965055005974536,0.7927365392741581,5.386717110205577,27.022227170057864,0.026471754118420458,0.019188936003829142,1.1966928437206787,0.34529256622062693,3.309154913737101,0.2358378236511245,0.0,0.03125,ar,Árabe,4987
0.031249999999999997,0.018768233345298944,0.004383651174460718,0.7939916510031951,0.7896079998287344,5.387560606087401,27.028099937718704,0.02601529319042681,0.019278656769177695,1.212960527054333,0.3499864274350699,3.3634274452804758,0.24339254914222275,0.0,0.03125,ar,Árabe,6034
0.03125,0.01973616337690512,0.004063672356576245,0.813418215853959,0.8093545434973828,5.387680776352914,27.028936199937394,0.026869134362374085,0.02045347351456991,1.1190190646292586,0.32288065104016755,3.061849253470566,0.2210626958745301,0.0,0.0,ar,Árabe,10655
0.031249999999999997,0.018099775637443898,0.004220400346008919,0.7802826633256202,0.7760622629796113,5.38749658220754,27.027657852665293,0.0258393143046001,0.018551109441324397,1.2778519841688536,0.36871014411010544,3.5889223779595505,0.25887282742363055,0.0,0.09375,ar,Árabe,5978
0.03125,0.01863088810099593,0.003753495753441791,0.7911796933422682,0.7874261975888265,5.387197850972282,27.025583462810243,0.02636687254635845,0.0192058680330942,1.2244098985816603,0.353290017739824,3.4021578721393517,0.24407048508712517,0.0,0.0625,ar,Árabe,4966
0.031249999999999993,0.01979804686657962,0.0032451805852531128,0.8146314352951758,0.8113862547099226,5.387414991648756,27.0270900021876,0.02716074960633142,0.020512158354190558,1.1113591465785135,0.3206704658830824,3.0384853361895376,0.21758230783088792,0.0,0.0,ar,Árabe,6653
0.03125000000000001,0.016987699621126954,0.0044947037439927555,0.7567844954960541,0.7522897917520613,5.384598755162649,27.007426122572397,0.025211938472169713,0.017034210724487873,1.3771399418873354,0.3973585929541948,3.9635494195735252,0.27598283906545773,0.0,0.15625,ar,Árabe,4991
0.03125,0.01387895956291244,0.0046282011654468665,0.6865316833505355,0.6819034821850887,5.371328547425195,26.91345207632193,0.02481253638344767,0.01434461372187981,1.6646527537563256,0.48031725452928153,5.283838138215729,0.33654231717087585,0.0,0.25,ar,Árabe,5883
0.03125,0.00839096690695847,0.0037463019780915713,0.5379189076691766,0.534172605691085,5.277495614134127,26.252628605067834,0.020937508697311206,0.007850989719829442,2.171021220178716,0.626424309603308,8.76723274565547,0.4215381395392309,0.0,0.4375,ar,Árabe,5244
