idioma,nome_idioma,mean,median,std,variance,min,max,amplitude,skewness,kurtosis,energy,rms,mean_abs_diff,var_diff,autocorr_lag1,shannon_entropy,shannon_entropy_norm,unique_symbols,length
ar,Árabe,0.47491991393637867,0.5239864864864865,0.15480803909761684,0.025828399760486207,1.0,0.011739854253046864,0.011739854253046864,0.006689359132015668,0.00019784084054910747,0.032665302165823855,0.3427949091678944,0.3333548137719469,0.039776962425651124,0.24694461537251505,0.6962439473358544,0.8083352199695153,0.17006802721088438,0.013343636589438254
ar,Árabe,0.4460619295400992,0.522972972972973,0.22418797746515629,0.05273654600599994,1.0,0.20728891820580475,0.20728891820580472,0.12769464926066254,0.025651804239476623,0.03928845942737669,0.3638830877675028,0.312482858614269,0.04855761065781596,0.5904617951094475,0.7978225129030574,0.7919471963442244,0.4081632653061224,0.01923581117443321
ar,Árabe,0.45076307995003,0.5233108108108109,0.16683066056592402,0.029811456640713573,1.0,0.06352085689156929,0.06352085689156929,0.013562812194331128,0.0004339405654607743,0.037659119072082206,0.3345950836747804,0.316151153963197,0.03934921499314846,0.36899091354898994,0.7757817210310038,0.7837535429016989,0.3741496598639456,0.029612661965806072
ar,Árabe,0.4313573213500189,0.522972972972973,0.17146839080325377,0.0314240882981938,1.0,0.06352085689156929,0.06352085689156929,0.012934836616776479,0.00019279756817794458,0.09962211529063142,0.32603730713307266,0.3126023343325686,0.03793865844970131,0.43146014924135345,0.8141014763275365,0.7894692990423724,0.4557823129251701,0.198457271385006
ar,Árabe,0.4607183365864018,0.5239864864864865,0.16727933725731067,0.029965617738595754,1.0,0.06352085689156929,0.06352085689156929,0.0161142154369786,0.0007140356982691725,0.030742424656251786,0.3404766189983483,0.3195635924378737,0.04134338323469036,0.33603971579489134,0.7726249439434925,0.7424966789224043,0.46938775510204084,0.009659302598352404
ar,Árabe,0.4788043877255681,0.5246621621621622,0.15686093725541322,0.02648834306767854,1.0,0.06359938434476693,0.06359938434476693,0.011564630599048458,0.0006325338595820663,0.1227962708032717,0.3459857561176167,0.3450800912882003,0.04296744391602168,0.20157063699953834,0.6993429706561876,0.84620275141853,0.1224489795918367,0.2255861126826643
ar,Árabe,0.4622648473519227,0.5233108108108109,0.1600993117424981,0.0275462715352478,1.0,0.012705741927377811,0.012705741927377811,0.008216619697496133,0.00016005727189866164,0.0344801463318515,0.33790924140881773,0.3330646264166661,0.039821631610344146,0.29929785186577895,0.7130964444684074,0.7397873207990606,0.32653061224489793,0.019994756378589468
ar,Árabe,0.4777480181750696,0.5239864864864865,0.15776483772393915,0.026781553730520703,1.0,0.06352085689156929,0.06352085689156929,0.012245045153904222,0.0006690704650060132,0.04687095407299871,0.34578222639618567,0.34845407113802657,0.04374640070509653,0.19522662507480634,0.6879743006211458,0.8494763460014769,0.10204081632653061,0.04577129531247845
ar,Árabe,0.47157839488210457,0.5239864864864865,0.26918845516546547,0.07526331208935451,1.0,0.23851143359718557,0.23851143359718555,0.16751806255807467,0.03121965472741498,0.039350257477914895,0.40536639220516224,0.3551020396986841,0.08679908576386965,0.4616261597428197,0.7306389138541614,0.7550578620980786,0.3333333333333333,0.0036843339910858502
ar,Árabe,0.43719854870928315,0.5233108108108109,0.17373967853437536,0.0322293294643118,1.0,0.06352085689156929,0.06352085689156929,0.016443709275597698,0.0005177960253596775,0.035405158886072825,0.3304799434984742,0.3165650699405376,0.04038315485674797,0.4061105928075192,0.7828573783501924,0.791075481723857,0.3741496598639456,0.02602492100070375
