spaces,accuracy_mean,accuracy_std,ci95_lower,ci95_upper
1,0.698603448275862,0.01581920954638629,0.6872878536825584,0.7099190428691655
5,0.8020517241379311,0.006560011898651594,0.7973593003505905,0.8067441479252717
7,0.8248793103448275,0.009161233211145908,0.8183262142063599,0.8314324064832952
12,0.8207413793103449,0.01623154765018097,0.8091308362997875,0.8323519223209022
