Cluster members,Cluster centre,Accuracy (%)
"az, ca, cs, de, en, eo, es, fi, fr, gl, hr, id, it, nl, pl, pt, ro, tr",115.85,79.73
"be, bg, ru",842.07,78.73
"ar, arz, ckb, fa, he, ps",1252.33,93.09
"hi, ta",2074.25,98.95
