posicao,ar - Árabe,arz - Árabe egípcio,az - Azerbaijano,be - Bielo-russo,bg - Búlgaro,ca - Catalão,ckb - Sorani central kurdish,cs - Tcheco,de - Alemão,en - Inglês,eo - Esperanto,es - Espanhol,fa - Persa,fi - Finlandês,fr - Francês,gl - Galego,he - Hebraico,hi - Hindi,hr - Croata,id - Indonésio,it - Itália,nl - Holandês,pl - Polonês,ps - Pashto,pt - Português,ro - Romeno,ru - Russo,ta - Tâmil,tr - Turco
0,0.9763007962147849,0.987907570859516,0.0,0.7765924212513378,1.0,0.0,0.9291963127523779,0.011266931607748498,0.0,0.0,0.0,0.03514536002706187,0.9000024412525425,0.0,0.0,0.0,1.0,0.9181828172316107,0.0,0.0,0.0018919566184269487,0.0,0.0,1.0,0.008670108214355099,0.2178755258674906,0.48217883856518773,1.0,0.0
1,1.0,1.0,0.14824983038763617,1.0,0.35861040567819247,0.22804562608658785,0.9893554211934861,0.0954152015147417,0.1526515806604673,0.16531000380372762,0.04980126559037176,0.08737932026641887,0.9260390420525024,0.0604010613892037,0.43521372547159964,0.04672137594714354,0.9107917046887368,1.0,0.17061735968102343,0.055757362861955845,0.0903691539224743,0.20418140345481578,0.0538980054146638,0.1713696610279345,0.0033220295051514803,0.1000018317590382,0.7474058651753954,0.9568606459406053,0.08039729272073382
2,0.8883203999203491,0.933453803591104,0.08612570863470675,0.9463797882310714,0.3610223350914892,0.05882768661041149,1.0,0.08875699631718026,0.1551925217399016,0.12658805629516923,0.014590234731585688,0.0,1.0000000000000002,0.050633654882666745,0.08457022543840514,0.20057156340945437,0.9665355299677021,0.8020614559929671,0.220639997663176,0.06038584669918651,0.0,0.1553193397918909,0.03312153525977493,0.7242672078553372,0.08366416830464174,0.07884501486777751,0.7211309254397875,0.9117988940426569,0.06513175732709886
3,0.7009156915834245,0.40019735328659856,0.06816692156434351,0.9223347757017422,0.3443810640098979,0.16666666666666674,0.7884034424654054,0.06172884459332928,0.0300478477386511,0.05971376949410423,0.03403181302156469,0.06385187546901305,0.7991478743757139,0.04767268304817712,0.10358121757603922,0.22499410083637028,0.561024002180984,0.7691660764872523,0.17326819436533314,0.05112089543897749,0.05595128126176058,0.14361320416218154,0.04046632410630421,0.7357512638537815,0.06767177138907488,0.08525006563803217,0.6830847322383486,0.8836945574864146,0.06977178433850201
4,0.4233713856039376,0.10207584177835871,0.08610845991973604,0.6667165181093675,0.26499316272709517,0.17878697932126253,0.6430683106148427,0.06289923222571314,0.07774924946897432,0.07508082921262837,0.0901894765152044,0.07592470906609539,0.8802938240165286,0.08483512534895937,0.13292519845597928,0.18523373797226084,0.4412762541603401,0.5156295789782162,0.1495202208298645,0.05911645656530176,0.11524513325806562,0.1792634168845148,0.04685894248301012,0.5853445621880873,0.051372659135581145,0.06651727654066197,0.5608259658227976,0.8281518179164493,0.054539501619149444
5,0.608153251284673,0.0,0.042782562699078985,0.6673712337235038,0.21526339779904924,0.1571895009116736,0.27026025348750027,0.01314995526518381,0.11147769248848155,0.11061240015214907,0.06353036098030237,0.08741042579581554,0.6737587194474033,0.15117540562204596,0.10995457088932942,0.18398180435751554,0.3413277496109446,0.4001920118198692,0.11635192568899788,0.03229759614233138,0.05499674980327762,0.16607078784150903,0.1090631158259204,0.3091479519087432,0.0500421193597857,0.0986890711149917,0.3793756642493853,0.7985118027761664,0.03549339294940987
6,0.6098904201600752,0.2478387998982967,0.23249255430470428,0.5314363197670939,0.14467278765383873,0.2215579018784718,0.35049753709441767,0.07319864339069104,0.20606012230219012,0.3646538607835679,0.035880805902295615,0.11379957929771495,0.6195603432658048,0.08813469139556096,0.09000938931514907,0.23695629375213023,0.47530490229116884,0.24863851714369423,0.07091530473645002,0.04518909122843434,0.03736357726915057,0.13954456917320207,0.19726872571228612,0.3376049160671464,0.03387260513640189,0.46522405465968975,0.3175489239579039,0.6701225034024576,0.03942999800483954
7,0.6198200715077558,0.39807550276657855,0.5575762105723123,0.7860841359415609,0.22264244318551807,0.16315424953002877,0.7644035803708795,0.05956492790412182,0.2812906029524583,0.2605410802586534,0.037957367137577996,0.2390615461781025,0.5852196292122851,0.0330820365405346,0.08962528096814276,0.20833224089562408,0.6867088727418675,0.225345254957507,0.08322014342257078,0.13215029898528624,0.10745492490334946,0.1319583269260341,0.3349632576385436,0.33830368137922084,0.031526880791411915,0.401423887359031,0.45434490342610223,0.6520310599765731,0.06026151949374081
8,0.645916241414463,0.4852620682140132,0.40879741959224036,0.7219785040579074,0.1728592824119295,0.24584093061386036,0.6574643492800902,0.05975739164811389,0.17951549175857068,0.36790129326740206,0.04159587480637292,0.13542569861074932,0.6098570068445013,0.03749412642693278,0.19461963789489656,0.5257137987991923,0.6198007580433247,0.3474467617466055,0.13669689932670248,0.2083097152254964,0.18168599678401592,0.18086524168332557,0.5957308875260143,0.4329610635815673,0.1915070090934617,0.39014635754715254,1.0,0.5563031132393115,0.16341643091373237
9,0.6396154749202747,0.2267686123521364,0.8932908248335499,0.4968028608081254,0.22894966464804312,0.4946571682991986,0.688693474916287,0.09221094026341525,0.13090502733839743,0.23769969570178773,0.021538827557493312,0.1262806729681285,0.5445072460230069,0.07095276265236744,0.09662933070306057,0.5675519781862038,0.5436480740322835,0.32691767607697564,0.09459755509792744,0.11546260887615067,0.16361148174757956,0.2770131734071453,0.4190378842293313,0.3641417946723702,0.260418601637255,0.262869633709251,0.7359397054336858,0.5555214625453446,0.19968742486174568
