posicao,ar - Árabe,arz - Árabe egípcio,az - Azerbaijano,be - Bielo-russo,bg - Búlgaro,ca - Catalão,ckb - Sorani central kurdish,cs - Tcheco,de - Alemão,en - Inglês,eo - Esperanto,es - Espanhol,fa - Persa,fi - Finlandês,fr - Francês,gl - Galego,he - Hebraico,hi - Hindi,hr - Croata,id - Indonésio,it - Itália,nl - Holandês,pl - Polonês,ps - Pashto,pt - Português,ro - Romeno,ru - Russo,ta - Tâmil,tr - Turco
0,17.73072787986446,17.773755133616778,13.391268087699002,17.032995423207076,16.99223073342201,12.521623623721613,17.930138811491222,12.8498793570243,12.566207814106727,12.501251464142983,12.553658167813039,12.557293006241089,17.792276398676535,12.674498288696142,12.56105272547009,12.53258651415029,17.51859055303972,18.426348304294766,12.609092414790945,12.528849321712151,12.515258964514468,12.513120959540775,12.759296119738329,17.725812685360772,12.553962488937982,12.682899284745066,16.97500252551879,19.0643451717927,12.777294566165041
1,11.408814214305778,11.611031116093018,9.41262745138614,11.527912178070457,11.435289980720695,6.181911748648732,11.218473019934569,7.851200474065965,6.766139159203172,5.986598135595134,6.468179107652252,6.885558712836099,12.567750215946962,6.847043214830079,6.768467464671455,6.194294772860554,11.463551337269077,11.886178871663072,6.865468925785045,5.644788002941811,6.079271079475874,5.916817237699237,8.05619209286274,11.203008005640934,6.355223266959192,7.726670924677472,11.446764496985773,12.676237977810645,7.624817247286653
2,11.309636028703098,11.390468542500347,9.285676947805973,11.458078915860954,11.391703927460869,6.321939503272733,11.25778297836435,7.7389244836594635,6.741282452648845,6.0120612393264015,6.520031029212048,6.863684704326912,12.395825697037987,6.764727226677044,6.761240203354565,6.286533138940224,11.357842717350717,11.932631838380578,6.800896713285404,5.655447757591621,6.138778320351032,6.0532452007144615,7.872901775882503,11.292477783223504,6.451495853585557,7.6169224904962185,11.359959683482119,12.739541918993037,7.539502358547973
3,11.393464339867084,11.385388539785419,9.170642858675599,11.566313876742335,11.565664557295221,6.553520095217049,11.495121425275178,7.761650471632615,6.889385460494553,6.22914317537646,6.693396569828648,7.081929014306999,12.393656222570822,6.876610378902046,6.933845970608832,6.5048049372284344,11.406948631141251,12.154379238004104,6.886852131949723,5.872070434077474,6.397455959121819,6.248799100601033,7.890646969612774,11.487640123021283,6.667701577272629,7.634722395750983,11.437879981532166,12.965393048030649,7.517802903002589
4,11.53548990848728,11.51948571096174,9.146762697054339,11.746697031907475,11.71196576818724,6.684130679817751,11.667176302090516,7.8176632708597396,6.9551018110614775,6.344820873368314,6.792669270674813,7.1963926861308805,12.476142688125954,6.972191433387887,7.041705322140641,6.6297029647720995,11.531561558000853,12.278534408941077,7.0012342646805665,6.062059521152718,6.5309918573737065,6.310126478802432,7.959593383303317,11.60921015144914,6.825288699594082,7.675373468273413,11.591758483926839,13.100672081451314,7.564680202879534
5,11.880924737905232,11.898524130194726,9.104727192358286,11.975604123195348,11.890036058951722,6.791650477249543,12.029594425072936,7.91907691462593,6.915000810895607,6.463648332767789,6.8601679865463705,7.252093449862895,12.637100935124863,7.023397935878126,7.103133003122332,6.792192406354996,11.835149854377267,12.508187289063086,7.219774521808902,6.346731894504624,6.642183208800317,6.2073297093823445,8.038653662247869,11.769437331161683,6.976578031663594,7.774173745836636,11.832492212475392,13.308910736130628,7.673848316243516
6,12.1199754674635,12.212362839357915,9.091673517770259,11.98291004361009,11.875798626044851,6.69048262551833,12.227102260220839,7.9758881548256975,6.86546640861947,6.495337083263759,6.841911312332018,7.216510355964912,12.732723806650526,7.019466640965285,6.997620527642513,6.797101679927383,12.072793180253994,12.623632695853129,7.309395737045009,6.481210675575056,6.587255938405593,6.159241539014978,8.069075375649902,11.897773395306812,6.945470335015606,7.804140169334612,11.865150436710419,13.344984007793672,7.722097473529164
7,12.32608131251465,12.539307500785496,9.124765686719522,11.862613263134309,11.72317013774395,6.559727038530656,12.291620533063476,7.9710166308476715,6.775490047797862,6.490937105759956,6.787401801796769,7.09953448783415,12.817865657180029,6.9531745006030325,6.862158613100118,6.750280710278782,12.268050020773233,12.714002745442393,7.261860200408472,6.591273271147566,6.512620112046846,6.13271263427707,8.004574475216145,12.055138786116219,6.831318495525458,7.725474066987718,11.754885462811743,13.400309495319254,7.666924916310236
8,12.350736578781813,12.566518014255,9.135006560736333,11.812329488244716,11.678550892597837,6.510477257229477,12.28538515767978,7.928469892020314,6.727843844973053,6.476426191287174,6.745059480572589,7.042666610635708,12.809471875491237,6.912634186618725,6.825642341337809,6.7034453423901015,12.337770620442067,12.716559871844561,7.1970259089257205,6.593227693142172,6.4693173475713275,6.105821391532492,7.966465164108283,12.078950502215521,6.776145947516172,7.712131423461227,11.7037231542316,13.401235448663826,7.631724502908645
9,12.266269283835959,12.404210302778127,9.162739865908831,11.775867000691765,11.627957789945347,6.438805968836791,12.199455224701147,7.87002692792973,6.796508335902823,6.45122210871474,6.72955394297456,7.081102969798946,12.834789660347955,6.921718852632713,6.817567721912529,6.5929426895373275,12.402387485454915,12.635245461700565,7.093401554764447,6.569734720132253,6.4384916520043785,6.085378883836933,7.946916194055429,12.07678975920552,6.690841354493376,7.734139785940276,11.63757622214118,13.28653417493823,7.566217686023708
10,12.190166069839965,12.256073117428432,9.159794718659326,11.635181349170258,11.514892517140808,6.374087598238784,12.103897227684998,7.7717397971155595,6.7899963768169105,6.405337131675809,6.64446435458785,6.9747367805688585,12.864783810358334,6.849795860622559,6.73127820609037,6.474808083025361,12.352569810836416,12.666538305443256,6.918774861815513,6.472942690269094,6.388138768386918,6.055625089545786,7.832056938810605,12.10611647565844,6.596217831660025,7.655291249043707,11.47727234496664,13.167225706235115,7.507940563010181
11,12.141301015113484,12.224881769929118,9.197348425395147,11.534349000756231,11.387303531605749,6.361412688767446,12.101674263963654,7.713984765158363,6.869592632300926,6.434547600386912,6.660310556650617,6.982853624508087,12.81248317143695,6.7948505191820425,6.740999347027306,6.465131549804209,12.244190001060534,12.782192536248434,6.82756738046241,6.416626530013579,6.418061104034887,6.095054740295495,7.787558071208465,12.192082460000298,6.572705763585978,7.644776380601105,11.3473103167893,13.045985315009787,7.457866177414151
12,12.152468167664331,12.22209960054013,9.204943583141462,11.513686234211201,11.370449042384337,6.385572336402165,12.083955565053895,7.699596144332658,6.886485057752008,6.450504925781228,6.656135001292389,6.9699934942775945,12.763700824953988,6.750178366667515,6.742445243646861,6.481975873535522,12.18823685276172,12.863254536123451,6.7930420629344335,6.311317246911073,6.403810094512166,6.145456956957609,7.753655255268253,12.232877043825132,6.584907910253505,7.604458569591298,11.298135622654572,13.010703873800018,7.41409182627738
13,12.174340188327717,12.084304015462246,9.222576857523544,11.464189743323505,11.390065902092292,6.441692278208518,12.154387627232806,7.659838180701868,6.9088691185739926,6.510650938868259,6.653063804970597,7.067460738649748,12.769426768770009,6.719801440832663,6.767287251160432,6.527007188010033,12.105378252389745,12.99382578433773,6.766126817931445,6.178791358104714,6.344072187360515,6.229958968120986,7.739732845354308,12.305964814286602,6.6074001146659285,7.612288099430161,11.282044756026192,13.004787451153236,7.388843875580836
14,12.240177102444127,12.157854800225323,9.286649380803253,11.487237445474802,11.46416492224239,6.5065281269444615,12.18970778109766,7.719693456372163,7.014197612392131,6.60071711805716,6.722770969270317,7.227656803482094,12.786412762452354,6.761262397352434,6.8413380310284815,6.571969986808084,12.042412277941027,13.096394512214223,6.840935231550695,6.163821138470778,6.381598246284174,6.351557484432236,7.850453745616526,12.375344726330225,6.652100903418388,7.745720209003664,11.350203386306061,12.991362909380323,7.403752347152033
15,12.266215499919909,12.34238184761345,9.282531976106986,11.487766019121414,11.496853203967358,6.559588397140256,12.155504932396845,7.759602991123284,7.016394550817305,6.627181036050454,6.746140060640258,7.18386164057519,12.80775786950167,6.729073061450824,6.842246504714507,6.6136626883397085,12.035186315079445,13.14879067577812,6.862725205187987,6.0978758855821535,6.379048512219624,6.395333615761481,7.7995721228243164,12.427212000467588,6.6785515212852005,7.728591213845405,11.367356937392284,12.98148746874117,7.394860590560644
16,12.2676670503895,12.352698874471452,9.28177266393668,11.475209606320103,11.506405491622447,6.578479645045149,12.154571879230776,7.746796930556803,6.9965661537013535,6.611071761820203,6.736331239777668,7.186044144109247,12.799917074990365,6.731315643345656,6.850082714519574,6.611184747286706,12.041076000885507,13.158336281622848,6.8308926297966295,6.078298536994591,6.373850514989554,6.402760670805802,7.777733633521857,12.421549039047484,6.666650762585488,7.709884190226582,11.361572497925481,12.984893408236156,7.392659244813948
17,12.211884503890808,12.160354623897474,9.286325078133789,11.462022722766823,11.509786067938363,6.549879189729687,12.145638522685788,7.705391526426959,6.950031620266904,6.5592095559706385,6.733292935972433,7.265782665396436,12.771005599724763,6.718934851698926,6.855497958896685,6.55799609331,12.033514843912835,13.099739359281795,6.816128508463543,6.054573098071045,6.394027945306951,6.340647075187527,7.818060906963303,12.414550960132049,6.658374099634698,7.734442980179827,11.339535604675886,12.923886746825138,7.371363628428097
18,12.161042892426174,12.070616006071424,9.265875792167215,11.421775882951966,11.483682441102438,6.534861920540668,12.163589240884209,7.655249895911569,6.766739100064282,6.441291440076949,6.676624694414966,7.159739609692928,12.822436776687878,6.652847869537194,6.80264787727291,6.509517335663568,12.04898963079934,13.063401949842273,6.763779058665388,5.9776126657298,6.3681982701727735,6.224899727650982,7.686313370689562,12.447811777841556,6.587149545158393,7.632555388991886,11.261005372454337,12.85829962708258,7.310941453593011
19,12.127514991735246,11.948010104711797,9.315864636498317,11.438000955305998,11.534283431199906,6.557447570992076,12.20265322386118,7.673633613479442,6.596936358630665,6.384155317305126,6.752159250527726,7.128023389323729,12.8826134356501,6.624188087101343,6.825125245207658,6.530166914478765,12.078240130932693,13.06569944849313,6.797857225711119,5.964131366491313,6.40445274399378,6.164122296927309,7.673054456184842,12.513137420976744,6.579447538363477,7.645451142474841,11.28972200307796,12.75841974432124,7.3160198577500335
20,12.097700658830766,11.94970406662609,9.321630159480687,11.430451194203085,11.549487636072739,6.53672361913683,12.230001542052012,7.672568395772535,6.505620769071688,6.339308903927916,6.722855719785637,7.120562650199236,12.885346788201982,6.601998439397378,6.825682084092857,6.5182770465891515,12.051567787215967,13.03610712515342,6.789199914566597,5.960681196400842,6.394770623338708,6.108288286447493,7.668061566615361,12.53386905478928,6.551280256787288,7.629949494286913,11.273547835618784,12.732255645901446,7.317397357160799
21,12.046452642864399,12.020152527271655,9.318186901086213,11.38344989807057,11.540113574611386,6.431063239084265,12.180664082876511,7.664696835169841,6.317833807726694,6.226480181113124,6.57006682368617,7.001889355609571,12.802062246009754,6.4994885378427,6.768381034767025,6.431277624450251,11.970999675337316,12.960712591854826,6.750634054503441,5.899503393913171,6.274807843126736,5.966155079138722,7.608791175207193,12.524923449259335,6.45060613580153,7.592510355263334,11.232096856160982,12.698786000452966,7.245550593238327
22,12.00599317367727,11.984699422845877,9.367649799833316,11.41794036431956,11.578255658690493,6.402845096108555,12.212835339653623,7.698524285759427,6.259533151497832,6.177851237442905,6.554872155994569,6.996206613471116,12.814099166300029,6.490588492452388,6.78185397884814,6.365768144245891,11.955884127478948,12.937376661105574,6.789712597668372,5.922784847416504,6.218470047997534,5.8923136434579275,7.693072143547474,12.559414672198086,6.4247183652651065,7.627245511327567,11.282047503427048,12.684716823415389,7.264239915304689
23,12.012742638857294,12.071648732645814,9.386463758773782,11.456024804642773,11.617236660212926,6.398980685016166,12.074677617388458,7.673035241530132,6.190417976695653,6.129166117990165,6.537259876515037,6.882944032405754,12.847670626705712,6.432256543876631,6.744428384995558,6.322897298235758,11.942667302246678,12.965244108777815,6.787477958264812,5.936822137781712,6.150660450393091,5.870084043839054,7.679342040523993,12.597122922729907,6.360924853872855,7.615411468771762,11.301858145753602,12.720032433689566,7.258659600962939
24,11.992025634492007,12.103008505379998,9.381409062863487,11.435151807607634,11.602355740036849,6.3729417156493495,12.03051795189828,7.6851483041520074,6.1891914753475215,6.118736360835807,6.517254542578752,6.84129270388141,12.852202584093504,6.42837554313211,6.723952101658788,6.29400557930722,11.92460719614915,12.927682619960983,6.7831063277334875,5.917942221081296,6.106405307020768,5.899325111953275,7.675226636671817,12.582848741852006,6.325604758943812,7.603274011732218,11.304622368105397,12.727037820369436,7.241478917997387
25,11.911557079290624,11.989926230005253,9.344588614401939,11.421220360749222,11.543580003948305,6.319357621800973,12.027886800558383,7.6950924649706565,6.2288201215951275,6.106618059583227,6.397444470296546,6.834753797121733,12.741578597458028,6.429824433479626,6.681097489145493,6.2348879192420155,11.880688483137648,12.853212727421667,6.763944012715082,5.869463234801787,6.0368730778313155,5.919796239269671,7.688352966017922,12.50957732354496,6.273521962890139,7.57025303890996,11.275419188002237,12.666670112250383,7.27808022955319
26,11.857358145758955,11.986583936957208,9.322017720089075,11.352001681172831,11.461544666994035,6.273554520219607,11.950094810737959,7.689662095310061,6.218846740326117,6.082114695069865,6.315226368875911,6.704482639079192,12.658838158299238,6.359593912817946,6.61398324483318,6.195238141682304,11.809283112873313,12.75653821479489,6.7017437719447255,5.806635973001554,5.951652145669436,5.897469375179988,7.651758786826911,12.421760758137738,6.216049324198277,7.493695855541116,11.231097301032348,12.6011484284009,7.237241706521794
