0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
168,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
23,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,189,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,5
0,0,0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
0,0,0,2,193,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,133,0,0,0,0,8,6,0,1,15,23,0,0,3,0,1,0,0,0,10,0,0,0,0
3,0,0,0,0,0,192,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0
0,0,1,0,0,0,0,149,0,0,0,0,1,0,1,0,0,0,1,0,0,0,17,0,0,12,0,0,18
0,0,0,0,0,0,0,0,185,2,0,0,0,3,0,0,0,0,0,0,4,2,1,0,1,1,0,0,1
0,0,0,0,0,0,0,0,2,157,6,1,0,0,0,0,0,0,0,1,15,18,0,0,0,0,0,0,0
0,0,0,0,0,8,0,2,7,9,141,5,0,1,7,4,0,0,9,1,2,0,1,0,1,2,0,0,0
0,0,0,0,0,11,0,0,0,0,1,157,0,0,3,4,0,0,1,0,2,0,0,0,19,2,0,0,0
2,0,0,0,2,0,2,0,0,0,0,0,184,1,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0
0,0,1,0,0,0,0,0,7,0,1,0,0,174,0,0,0,0,4,1,1,0,3,0,3,4,0,0,1
0,0,0,0,1,14,0,3,5,0,9,6,0,0,150,7,0,0,0,0,0,0,0,0,3,2,0,0,0
0,0,0,0,0,29,0,0,1,0,14,21,0,0,14,60,0,0,0,0,4,0,1,0,55,1,0,0,0
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,195,0,1,0,0,0,2,0,0,0,0,0
0,0,0,0,0,5,0,2,0,0,3,0,0,1,1,2,0,0,175,0,0,0,4,0,2,2,0,0,3
0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,3,191,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,6,5,3,0,0,1,0,0,0,0,0,168,1,0,0,13,0,0,0,0
0,0,0,0,0,0,0,0,5,14,1,0,0,1,0,1,0,0,0,3,2,173,0,0,0,0,0,0,0
0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,5,0,0,0,147,0,0,11,0,0,18
0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,196,0,0,0,1,0
0,0,0,0,0,3,0,0,2,1,6,23,0,0,8,29,0,0,2,0,15,0,0,0,110,1,0,0,0
0,0,1,0,0,1,0,6,1,0,4,0,0,2,9,0,0,0,1,0,0,0,5,0,1,163,0,0,6
0,0,0,50,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198,0
0,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,3,1,0,168
