0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
169,20,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0
23,171,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4
0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
0,1,0,6,186,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0
0,0,0,0,0,113,0,0,0,1,2,14,0,0,16,12,0,0,7,2,5,0,0,0,26,2,0,0,0
1,2,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,3,0,0,0,0,145,0,0,1,0,0,1,1,0,0,0,5,0,0,0,20,0,0,12,0,0,12
0,0,5,0,0,0,0,0,169,0,0,1,0,2,0,0,0,0,0,0,1,21,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,5,112,1,0,0,1,1,0,0,0,0,4,18,48,0,0,8,0,0,0,0
0,0,0,0,0,8,0,0,10,2,90,28,0,4,33,6,0,0,4,0,8,0,0,0,7,0,0,0,0
0,0,1,0,1,7,0,0,0,1,13,155,0,0,9,1,0,0,0,0,0,0,0,0,8,4,0,0,0
2,0,0,0,2,0,3,0,0,0,0,0,182,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0
0,0,3,0,0,0,0,0,4,0,6,0,0,169,0,0,0,0,2,9,2,0,0,0,0,1,0,0,4
0,0,0,0,0,43,0,0,0,1,33,32,0,1,41,12,0,0,6,1,5,1,1,0,18,5,0,0,0
0,0,0,0,0,65,0,1,0,4,23,14,0,1,10,15,0,0,7,0,9,0,0,0,49,2,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,194,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,189,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,0,10,0,6,0,0,4,0,0,2,2,1,0,0,157,1,1,0,7,0,0,1,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,189,2,1,0,0,0,1,0,0,0
0,0,0,0,0,4,0,0,7,41,9,1,0,1,0,1,0,0,3,0,93,20,2,0,18,0,0,0,0
0,0,0,0,0,0,0,0,14,51,1,0,0,2,0,0,0,0,0,1,12,119,0,0,0,0,0,0,0
0,0,2,0,1,0,0,52,0,0,2,0,0,0,0,0,0,0,17,0,0,0,65,0,0,10,0,0,51
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0
0,0,1,0,0,56,0,1,1,2,14,12,0,0,11,15,0,0,6,0,22,1,0,0,57,1,0,0,0
0,0,6,0,0,0,0,16,1,0,5,9,0,1,9,0,0,0,3,0,2,0,6,0,0,135,0,0,7
0,0,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,199,0
0,0,10,0,0,0,0,14,0,0,1,0,0,3,0,0,0,0,1,1,0,0,34,0,0,1,0,0,135
